OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-MD,USGS Maryland Water Science Center,USGS-01594520,"COLLINGTON BRANCH NEAR KIDWELLS CORNER, MD",Stream,,02060006,,,,,38.86844627000000,-76.7458018900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594522,"COLLINGTON BRANCH NEAR OAK GROVE, MD",Stream,,02060006,,,,,38.85039106000000,-76.7499687000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594525,"COLLINGTON BRANCH AT UPPER MARLBORO, MD",Stream,,02060006,22.9,sq mi,,,38.82122505000000,-76.7441350000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594526,"WESTERN BRANCH AT UPPER MARLBORO, MD",Stream,,02060006,89.7,sq mi,,,38.81422220000000,-76.7487222000000,24000,1,seconds,Interpolated from MAP.,NAD83,4.42,feet,.1,feet,Interpolated from Digital Elevation Model,NAVD88,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594528,"CHARLES BRANCH NEAR CROOM, MD",Stream,,02060006,,,,,38.77955910000000,-76.7719136000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594533,"MATAPONI CREEK NEAR BRANDYWINE, MD",Stream,,02060006,,,,,38.71928278000000,-76.7955250000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594535,"MATAPONI CREEK NEAR NAYLOR, MD",Stream,,02060006,14,sq mi,,,38.72983817000000,-76.7546907000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594560,"PATUXENT RIVER AT NOTTINGHAM, MD",Stream,,02060006,,,,,38.70900586000000,-76.7021876000000,,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594585,"FULL MILL BRANCH NEAR WESTWOOD, MD",Stream,,02060006,,,,,38.66400700000000,-76.7144100000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
USGS-MD,USGS Maryland Water Science Center,USGS-01594610,"BLACK SWAMP CREEK NEAR POPLAR HILL, MD",Stream,,02060006,,,,,38.63261899000000,-76.7227433900000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,24,033,,,,,,,,,,NWIS
